海南频道,#genre#
文昌综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=wczh5
三亚1台 576,http://iptv.nastool.site:56789/udp/HItele.php?id=sy1t5
儋州综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=dzzh5
东方综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=dfzh5
万宁综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=wnzh5
临高综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=lgzh5
乐东综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=ldzh5
五指山综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=wzszh5
保亭综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=btzh5
陵水综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=lszh5
昌江综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=cjzh5
屯昌综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=tczh5
定安综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=dazh5
琼中综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=qzzh5
白沙综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=bszh5
澄迈综合 576,http://iptv.nastool.site:56789/udp/HItele.php?id=cmzh5



Youtube音乐,#genre#

抖音神曲2023,https://www.youtube.com/watch?v=HDllEQOkRg0
2023流行歌曲1,https://www.youtube.com/watch?v=7FRXSvdgnj4
2023流行歌曲2,https://www.youtube.com/watch?v=1AA5BsLjVHY
2024 1月抖音新歌,https://www.youtube.com/watch?v=WuI0vNbRjNE
爱财爱己,https://www.youtube.com/watch?v=fa62H2YjLDo
张学友 偷心,https://www.youtube.com/watch?v=nubW4Cebw3A
黄家驹 灰色轨迹,https://www.youtube.com/watch?v=LDkqFftOXLQ
邓紫棋 真的爱你,https://www.youtube.com/watch?v=4OqXWzekVw4
邓紫棋 再見 GOODBYE,https://www.youtube.com/watch?v=Lhel0tzHE08
张学友 忘记你我做不到,https://www.youtube.com/watch?v=ATP9JuDoOyQ
Linkin Park1,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Linkin Park2,https://www.youtube.com/watch?v=kXYiU_JCYtU
孤勇者,https://www.youtube.com/watch?v=Hlp8XD0R5qo
我们不一样,https://www.youtube.com/watch?v=Fp-8YM36CVA
陈百强 偏偏喜欢你,https://www.youtube.com/watch?v=Gz_BNBgyK78
我的好兄弟,https://www.youtube.com/watch?v=39G3VIH8gMM
神话,https://www.youtube.com/watch?v=ypPrhebv3ho
泰坦尼克号,https://www.youtube.com/watch?v=1pihHJ5ztts
Backstreet Boys,https://www.youtube.com/watch?v=0Gl2QnHNpkA
涼涼_楊宗緯&張碧晨,https://www.youtube.com/watch?v=tgpjeXIX_pc
Shape of You，https://www.youtube.com/watch?v=JGwWNGJdvx8
陈百强 一生何求,https://www.youtube.com/watch?v=1I-sq9oA9PI
茄子蛋 浪子回头,https://www.youtube.com/watch?v=XgSYzaR-tzU
S.H.E.中国话,https://www.youtube.com/watch?v=jGauF0PuDFE
黄明志，海南话,https://www.youtube.com/watch?v=7u8TJ6QaAmI
丁噹 手掌心,https://www.youtube.com/watch?v=7wvNwOPprBE
周興哲 你，好不好？,https://www.youtube.com/watch?v=wSBXfzgqHtE
說散就散,https://www.youtube.com/watch?v=zOEISgh7k_g
于文文 体面,https://www.youtube.com/watch?v=-kfVp3tqYvc
我的歌声里,https://www.youtube.com/watch?v=w0dMz8RBG7g
It's not goodbye,https://www.youtube.com/watch?v=jmd27c4Rma8
珍珠港 歌曲,https://www.youtube.com/watch?v=ytT_z8vhg3I
D2B,https://www.youtube.com/watch?v=YXZZSvUtbXs
jame,https://www.youtube.com/watch?v=SKlRUkLDtHw
TON MAI DAI,https://www.youtube.com/watch?v=Z6PQtPL0I6A
D2B 90年,https://www.youtube.com/watch?v=mpGNvzx9Uzg
最火DJ,https://www.youtube.com/watch?v=T_pbUXk-fCg
Pháo - 2 Phút Hơn,https://www.youtube.com/watch?v=_AL4IwHuHlY
Remix 2023,https://www.youtube.com/watch?v=HuXByx-twWw
Deep House,https://www.youtube.com/watch?v=qhsrWzQZGAI
黄家驹 大地,https://www.youtube.com/watch?v=FbQnDaT_Ehs
黄家驹 谁伴我闯荡,https://www.youtube.com/watch?v=TY2Tg9U8ZTY
邓紫棋 句号,https://www.youtube.com/watch?v=7XlqcS6B7WA
DJ,https://www.youtube.com/watch?v=kIIVxcRFwwU
MUSIC,https://www.youtube.com/watch?v=RtBNiT4G0Bs
Dance With DJ1,https://www.youtube.com/watch?v=o2h5KRVt4lQ
Dance With DJ2,https://www.youtube.com/watch?v=q_F4eCA9v2M
Tomorrowland 2023,https://www.youtube.com/watch?v=sjrcO6FWzdE
MARTIN 2022,https://www.youtube.com/watch?v=7xpja4fejbk
MARTIN 2013,https://www.youtube.com/watch?v=raOVXUB13vw
MARTIN 2017,https://www.youtube.com/watch?v=g_s17HMFaug



Youtube影剧,#genre#

潜行完整版,https://www.youtube.com/watch?v=TSPY1lIbOoQ
黑白潜行,https://www.youtube.com/watch?v=g8whbG6VHAk
细杀(悬疑破案),https://www.youtube.com/watch?v=8cb-M87Wj70
幕后玩家,https://www.youtube.com/watch?v=E2ldClQFAaI
深海危机,https://www.youtube.com/watch?v=rwn_ZvOS6BQ
猛龍(洪金宝),https://www.youtube.com/watch?v=zW_xwL_Q2Sc
赌神1HD国语,https://www.youtube.com/watch?v=6ZPj4ZLNz5k
赌神2HD国语,https://www.youtube.com/watch?v=tZ-TdoRqL4A
驚天大賊王,https://www.youtube.com/watch?v=dgwSSQl5jUM



Youtube历史,#genre#

紀錄片NG17 4珍珠港國語版,https://www.youtube.com/watch?v=hF08j6osIig
档案2009 库尔斯克号核潜艇沉没案,https://www.youtube.com/watch?v=AyPTflYZ2ck
档案 青帮大亨杜月笙,https://www.youtube.com/watch?v=qGDhSc3Nsyk
档案 金三角两大贩毒集团覆灭记,https://www.youtube.com/watch?v=JkD-8B55wdQ
档案 诺曼底登陆,https://www.youtube.com/watch?v=vUSvKT0FD10
档案 毒王的逃亡之路,https://www.youtube.com/watch?v=oTCUu9pOFFs
档案 剑桥谍中谍,https://www.youtube.com/watch?v=CVjkO-wB5Ys
档案 杰克逊死亡的背后,https://www.youtube.com/watch?v=Qd8uaoXVJyA
档案 国宝运往台湾,https://www.youtube.com/watch?v=UtJMy6p1osY



Youtube拉琴,#genre#

李克勤 月半小夜曲,https://www.youtube.com/watch?v=bW3J7ufkerA
石川綾子,https://www.youtube.com/watch?v=vvb4UHtX2GA
Pachelbel's Canon,https://www.youtube.com/watch?v=Ptk_1Dc2iPY
River Flows In You,https://www.youtube.com/watch?v=WSSIIC58Fsc

测试,#genre#

CCTV-1综合,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-2财经,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-3综艺,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-4中文国际,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-5体育,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-6电影,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-7国防军事,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-8电视剧,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000003736&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-9纪录,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028286&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-10科教,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000026367&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-11戏曲,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-12社会与法,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001640&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-13新闻,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021303&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-14少儿,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021349&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-15音乐,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000008163&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV5+体育赛事,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018504&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-17农业农村,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
东方卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030202&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
北京卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
广东卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028357&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
深圳卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011645&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
浙江卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009806&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
江苏卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004684&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
湖南卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009115&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
湖北卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000010355&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
安徽卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000020780&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
天津卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000831&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
江西卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000013731&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
东南卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000009263&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
四川卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000016825&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
重庆卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
山东卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
辽宁卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000024033&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
黑龙江卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009082&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
海南卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=7899627377857656087&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
云南卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000024694&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
宁夏卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031451&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
内蒙古卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000014080&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
西藏卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=6603041244077933770&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
纪实科教,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028380&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
精品大剧,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=7882297361445410858&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
精品记录,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=6298506997017621594&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
Newtv超级电影,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012884&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
Newtv超级综艺,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000025771&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
Newtv金牌综艺,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=6399725674632152632&livemode=1&stbId=00000250001B50800001B401420BC069&userToke
黑莓动画,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=6497762188035533951&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
黑莓电竞,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=5320946857686967621&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
黑莓电影,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=8785669936177902664&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
環球電視臺,http://zb.xzxwhcb.com:9999/hls/world.m3u8
亞洲新聞台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
KCTV,http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8
KBS WorldHD,http://wms4-kortv.akamaized.net/a_live/63719963/smil:20ch011.smil/chunklist_b2500000.m3u8
SBS CJB,http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8
NASA Public Channel,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
NASA Public Channel,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master_2000.m3u8
Red Bull TV 1660,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
Red Bull TV 6660,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
THAIPBS-3,http://thaipbs-live.cdn.byteark.com/live/playlist_480p/index.m3u8
半島電視臺,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
俄·IGITV,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
IPTV+淘电影(测试),http://218.241.192.50:8808/udp/239.3.1.250:8001
